Gene ID,Genotype,Gender,Parameter,Fatmass,Leanmass,BoneMineralDensity,BoneMineralContent,Bodylength,BMC_Body weight,Lean_Body weight,Fat_Body weight,Bone_Area,Bodyweight
MGI:891978,Phyh,M,ABIL_99_257899,3.923,24.097,0.0537,0.4934,9.4,0.0171916,0.839617,0.13669,9.18808,28.69999059
MGI:94890,Dhfr,M,AAUX_86_129286,3.759,16.561,0.045,0.334,8.6,0.0156808,0.777512,0.176479,7.42222,21.2999928
MGI:94890,Dhfr,M,AAUX_83_129283,4.512,20.838,0.05,0.4547,9.4,0.0172235,0.789318,0.170909,9.094,26.40000608
MGI:94890,Dhfr,M,AAUX_85_129285,3.494,17.556,0.0448,0.3415,8.5,0.0155227,0.798,0.158818,7.62277,22
MGI:95636,Galc,M,AAOP_112_043712,5.416,22.644,0.0539,0.4845,9.8,0.0163131,0.762424,0.182357,8.98887,29.70000944
MGI:95636,Galc,M,AAOP_111_043711,5.845,20.605,0.053,0.4661,9.5,0.0167662,0.741187,0.210252,8.79434,27.80000189
MGI:95636,Galc,M,AAOP_109_043709,6.617,19.333,0.0508,0.3988,9.4,0.0145547,0.705584,0.241496,7.85039,27.39999773
MGI:96413,Idh1,M,AAVA_100_115900,3.666,21.614,0.0503,0.4486,9.2,0.0172538,0.831308,0.141,8.91849,25.99999038
MGI:96413,Idh1,M,AAVA_96_115996,4.487,22.383,0.0521,0.4971,9.3,0.0181423,0.816898,0.163759,9.54127,27.39999363
MGI:96413,Idh1,M,AAVA_162_185262,4.585,17.145,0.0451,0.3325,8.8,0.0149775,0.772297,0.206532,7.37251,22.20000855
MGI:97621,Plk1,M,AAVR_91_215491,2.677,14.933,0.0472,0.3719,8.7,0.0195737,0.785947,0.140895,7.87924,19.00000891
MGI:97621,Plk1,M,AAVR_90_215490,5.199,18.981,0.0487,0.3999,9.1,0.0159323,0.756215,0.207131,8.2115,25.10000463
MGI:97621,Plk1,M,AAVR_89_215489,3.759,21.471,0.052,0.4716,9.6,0.0178636,0.813295,0.142386,9.06923,26.40001475
